Point_Encoder;x_Encoder;y_Encoder;z_Encoder;x_TS;y_TS;z_TS;delta_x;delta_y;delta_z;Norm
13_12_T_P41;-2895.40826;6898.733726;1598.371054;-2898.199415;6899.785035;1604.928326;-2.791155;1.051309;6.557272;7.203722514
13_12_T_P42;-3276.611167;7706.17943;1448.175536;-3278.224622;7710.914445;1452.262283;-1.613455;4.735015;4.086747;6.459497171
13_12_T_P43;-3586.866245;8371.942975;1548.365773;-3590.868146;8378.499968;1544.553096;-4.001901;6.556993;-3.812677;8.575888736
13_12_T_P44;-3703.713913;9067.576061;1525.794117;-3708.241696;9076.229506;1506.161181;-4.527783;8.653445;-19.632936;21.9279522
13_12_T_P45;-3704.367987;9466.762711;1511.531619;-3711.098118;9474.97621;1487.084852;-6.730131;8.213499;-24.446767;26.65334177
13_12_T_P46;-3957.1453;10082.6674;1572.605173;-3965.077218;10091.22363;1542.499054;-7.931918;8.55623;-30.106119;32.28781112
13_12_T_P47;-3894.113293;9914.757256;2635.366291;-3901.883932;9924.117904;2616.271506;-7.770639;9.360648;-19.094785;22.64101098
13_12_T_P48;-3664.803674;9363.057294;2480.40681;-3678.927589;9370.254886;2466.037606;-14.123915;7.197592;-14.369204;21.39542761
13_12_T_P49;-3526.27315;9022.070115;2381.682498;-3544.056289;9025.558291;2375.932172;-17.783139;3.488176;-5.750326;19.01246057
13_12_T_P50;-3280.853006;8420.744535;2346.865938;-3294.910124;8422.815536;2351.328143;-14.057118;2.071001;4.462205;14.89304848
13_12_T_P51;-3038.637078;7828.187912;2309.894072;-3049.027628;7828.935434;2323.593322;-10.39055;0.747522;13.69925;17.21022275
13_12_T_P52;-2730.110649;7077.136436;2139.727004;-2735.618552;7077.782796;2153.9659;-5.507903;0.64636;14.238896;15.2807378
13_12_T_P53;-2558.248528;6653.987656;2081.555841;-2562.346973;6653.578584;2093.893069;-4.098445;-0.409072;12.337228;13.00660563
