x;y;z;qx;qy;qz;qw
-7.082999999999999545e+02;5.118000000000000114e+02;7.975800000000000182e+03;-1.290141260106663079e-01;1.879702500155404701e-02;-6.341567300524290907e-02;9.894344240818018221e-01
-7.020000000000000000e+02;5.278999999999999773e+02;7.983199999999999818e+03;-1.291023169766889744e-01;1.297010399765808307e-02;-5.273991999047714097e-02;9.901428528212172786e-01
-6.937000000000000455e+02;5.455000000000000000e+02;7.982399999999999636e+03;-1.282893979921628791e-01;1.384572799915417297e-02;-4.010935299754974509e-02;9.908286259394708528e-01
-6.842999999999999545e+02;5.630000000000000000e+02;7.976699999999999818e+03;-1.268329030499921461e-01;1.851000100729585651e-02;-2.636303501039118785e-02;9.914009203907679924e-01
-6.748999999999999773e+02;5.787000000000000455e+02;7.965300000000000182e+03;-1.100420070146283513e-01;2.640008400350947471e-02;-1.467276000195051264e-02;9.934679171320658364e-01
-6.672999999999999545e+02;5.851000000000000227e+02;7.951000000000000000e+03;-1.246399100366460538e-01;3.584898401054015249e-02;-8.473971002491477791e-03;9.915179952915215145e-01
-6.615000000000000000e+02;5.872999999999999545e+02;7.938699999999999818e+03;-1.238540249836750096e-01;4.590386899394948567e-02;-6.586434999131853159e-03;9.912162398693493692e-01
-6.577000000000000455e+02;5.858999999999999773e+02;7.927600000000000364e+03;-1.225715700470120101e-01;5.579798902140117173e-02;-6.113103002344665200e-03;9.908710433800459461e-01
-6.555000000000000000e+02;5.813999999999999773e+02;7.917699999999999818e+03;-1.224367979611128560e-01;6.629869597894287592e-02;-7.876160997498451999e-03;9.902280946854936650e-01
-6.557000000000000455e+02;5.723999999999999773e+02;7.906600000000000364e+03;-1.208459790476639900e-01;7.579631902989553138e-02;-1.171681200462133636e-02;9.897039373903582238e-01
-6.580000000000000000e+02;5.606000000000000227e+02;7.901600000000000364e+03;-1.200388980518346110e-01;8.350246403605761369e-02;-1.807143100780351369e-02;9.890861564271022921e-01
-6.617999999999999545e+02;5.475000000000000000e+02;7.900699999999999818e+03;-1.191837029539051934e-01;8.894296696560091697e-02;-2.581449399001613243e-02;9.885433756176764675e-01
-6.668999999999999773e+02;5.338999999999999773e+02;7.904199999999999818e+03;-1.190022249969392709e-01;9.109086199765713265e-02;-3.421673199911994673e-02;9.881144369745855638e-01
-6.735000000000000000e+02;5.192999999999999545e+02;7.912300000000000182e+03;-1.181531339811215248e-01;9.030627398557089514e-02;-4.497568199281379991e-02;9.878571768421604560e-01
-6.813999999999999773e+02;5.041999999999999886e+02;7.924199999999999818e+03;-1.183800189683713866e-01;8.553696997714634043e-02;-5.724849998470441653e-02;9.876194647361290491e-01
-6.895000000000000000e+02;4.908999999999999773e+02;7.939300000000000182e+03;-1.180731840110662151e-01;7.826132300733490421e-02;-6.867779500643671209e-02;9.875308850925547111e-01
-6.960000000000000000e+02;4.816000000000000227e+02;7.957300000000000182e+03;-1.190928949559938443e-01;6.893869597452637055e-02;-7.574622897201091498e-02;9.875863746350758143e-01
-7.006000000000000227e+02;4.771000000000000227e+02;7.976199999999999818e+03;-1.186798270096658253e-01;5.849191000476385016e-02;-7.947782300647303344e-02;9.880167360804684717e-01
-7.030000000000000000e+02;4.763000000000000114e+02;7.998899999999999636e+03;-1.188371539602233740e-01;4.497185498494722655e-02;-8.027532697313061183e-02;9.886410546690865830e-01
-7.027999999999999545e+02;4.793999999999999773e+02;8.020600000000000364e+03;-1.214202430357043255e-01;3.142657800924116007e-02;-7.860651902311470429e-02;9.889845852908165647e-01
-7.003999999999999773e+02;4.873999999999999773e+02;8.039199999999998909e+03;-1.223502080375215295e-01;1.913194900586725339e-02;-7.348995802253738274e-02;9.895774963034768001e-01
-6.961000000000000227e+02;4.996000000000000227e+02;8.055099999999999454e+03;-1.226955979842338229e-01;1.038220999866590333e-02;-6.484209899166790136e-02;9.902694088727520549e-01
-6.897999999999999545e+02;5.145000000000000000e+02;8.062100000000001273e+03;-1.232415670131428997e-01;6.338620000675971103e-03;-5.379666200573706564e-02;9.908971981056726719e-01
-6.826000000000000227e+02;5.311000000000000227e+02;8.062100000000001273e+03;-1.226023780227752102e-01;6.407005001190197585e-03;-4.117944400764969592e-02;9.915804861842008044e-01
-6.748999999999999773e+02;5.482000000000000455e+02;8.058099999999999454e+03;-1.223162200328137134e-01;1.057931400283810761e-02;-2.843401600762797757e-02;9.920273822661306307e-01
-6.672999999999999545e+02;5.628999999999999773e+02;8.048800000000000182e+03;-1.210763780490645147e-01;1.768621700716709391e-02;-1.765111800715286894e-02;9.923286484021273113e-01
-6.611000000000000227e+02;5.721000000000000227e+02;8.036899999999999636e+03;-1.203185069768426124e-01;2.732011099474176974e-02;-1.099060499788466656e-02;9.922984808090148379e-01
-6.567000000000000455e+02;5.763999999999999773e+02;8.025700000000000728e+03;-1.189126339932388005e-01;3.791250199784435004e-02;-8.134178999537500232e-03;9.921472989435878853e-01
-6.537999999999999545e+02;5.762999999999999545e+02;8.012800000000000182e+03;-1.182294000029699560e-01;4.854203000121938560e-02;-6.614937000166170450e-03;9.917770530249135907e-01
-6.528999999999999773e+02;5.722999999999999545e+02;8.003399999999999636e+03;-1.172077949616845000e-01;5.857443298085188155e-02;-8.109640997348939104e-03;9.913453496759268013e-01
-6.545000000000000000e+02;5.627999999999999545e+02;7.996000000000000000e+03;-1.164894190200055635e-01;6.801156701168011021e-02;-1.276031200219142001e-02;9.907783891701534840e-01
-6.578999999999999773e+02;5.497999999999999545e+02;7.989500000000000000e+03;-1.159827590523253987e-01;7.595027603426481033e-02;-1.984633200895363422e-02;9.901442714467015849e-01
-6.631000000000000227e+02;5.363999999999999773e+02;7.989600000000000364e+03;-1.145374369970660888e-01;8.177185599790537385e-02;-2.848737099927028601e-02;9.896378169746500308e-01
-6.693999999999999773e+02;5.228999999999999773e+02;7.993199999999999818e+03;-1.136780150031338754e-01;8.479285500233757489e-02;-3.737110100103024218e-02;9.891869800272700131e-01
-6.765000000000000000e+02;5.104999999999999432e+02;7.999100000000000364e+03;-1.128099849451953685e-01;8.549981495846303847e-02;-4.678302097727217446e-02;9.888250795196152909e-01
