Points;x;y;z
01_02_P967;1000.741;1981.912;99.288
01_02_P966;1000.855;1982.53;99.301
01_02_P965;1000.606;1982.045;99.054
01_02_P964;1000.448;1981.177;99.031
01_02_P963;1000.347;1980.641;99.007
01_02_P962;1000.232;1980.059;98.966
01_02_P961;1000.062;1979.215;98.867
01_02_P960;1000.741;1978.937;98.898
01_02_P959;1000.807;1979.501;98.953
01_02_P958;1000.865;1980.003;99.005
01_02_P957;1000.981;1980.938;99.074
01_02_P956;1001.058;1981.569;99.096
01_02_P955;1001.219;1981.946;99.264
01_02_P954;1001.184;1981.653;99.253
01_02_P953;1001.132;1981.227;99.235
01_02_P952;1001.02;1980.359;99.17
01_02_P951;1000.888;1979.312;98.949
01_02_P950;1001.314;1980.307;99.523
01_02_P949;1001.393;1980.927;99.584
01_02_P948;1001.488;1981.688;99.644
01_02_P947;1001.602;1982.579;99.782
01_02_P946;1001.683;1983.233;99.802
01_02_P945;1002.318;1983.059;99.792
01_02_P944;1002.307;1982.804;99.783
01_02_P943;1002.281;1982.145;99.756
01_02_P942;1002.246;1981.307;99.707
01_02_P941;1002.202;1980.176;99.623
01_02_P940;1001.218;1979.875;99.413
01_02_P939;1001.303;1980.533;99.47
01_02_P938;1001.401;1981.287;99.525
01_02_P937;1001.489;1981.97;99.561
01_02_P936;1001.593;1982.761;99.591
01_02_P935;1002.1;1982.582;99.579
01_02_P934;1002.018;1981.921;99.551
01_02_P933;1001.937;1981.276;99.517
01_02_P932;1001.874;1980.768;99.482
01_02_P931;1001.392;1979.702;99.407
01_02_P930;1000.853;1979.266;99.236
01_02_P929;1001.793;1980.057;99.3
01_02_P928;1001.863;1980.756;99.342
01_02_P927;1001.934;1981.442;99.375
01_02_P926;1001.975;1982.019;99.398
01_02_P925;1001.822;1981.467;99.148
01_02_P924;1001.758;1980.905;99.134
01_02_P923;1001.548;1980.527;99.124
01_02_P922;1001.461;1980.023;99.099
01_02_P921;1000.816;1979.053;99.02
01_02_P920;1001.133;1979.129;98.963
01_02_P919;1001.126;1979.453;98.951
01_02_P918;1001.436;1980.053;99.014
01_02_P917;1001.844;1980.852;99.067
01_02_P916;1002.064;1981.304;99.082
01_02_P915;1002.094;1981.716;99.253
01_02_P914;1001.892;1981.304;99.24
01_02_P913;1001.605;1980.723;99.211
01_02_P912;1001.303;1980.122;99.159
01_02_P911;1000.927;1979.363;99.094
01_02_P910;1002.472;1982.319;99.398
01_02_P909;1002.347;1981.815;99.359
01_02_P908;1002.229;1981.357;99.319
01_02_P907;1002.06;1980.73;99.249
01_02_P906;1001.82;1979.802;99.13
01_02_P905;1003.127;1980.012;99.4
01_02_P904;1003.123;1980.43;99.453
01_02_P903;1003.114;1981.099;99.527
01_02_P902;1003.089;1982.363;99.641
01_02_P901;1003.08;1982.95;99.682
01_02_P900;1004.099;1982.978;99.757
01_02_P899;1004.22;1982.361;99.735
01_02_P898;1004.373;1981.579;99.696
01_02_P897;1004.525;1980.799;99.643
01_02_P896;1004.664;1980.097;99.6
01_02_P895;1004.697;1979.528;99.369
01_02_P894;1004.527;1980.398;99.434
01_02_P893;1004.411;1980.986;99.423
01_02_P892;1004.262;1981.752;99.471
01_02_P891;1004.139;1982.386;99.497
01_02_P890;1004.172;1982.032;99.378
01_02_P889;1004.295;1981.43;99.362
01_02_P888;1004.45;1980.622;99.324
01_02_P887;1004.6;1979.858;99.269
01_02_P886;1004.737;1979.188;99.228
01_02_P885;1004.766;1978.626;98.964
01_02_P884;1004.651;1979.224;99.018
01_02_P883;1004.526;1979.919;99.078
01_02_P882;1004.368;1980.69;99.114
01_02_P881;1004.21;1981.477;99.139
01_02_P880;1004.995;1981.582;99.127
01_02_P879;1005.204;1980.921;99.109
01_02_P878;1005.399;1980.289;99.087
01_02_P877;1005.602;1979.587;99.032
01_02_P876;1005.851;1978.744;98.849
01_02_P875;1005.775;1979.17;99.065
01_02_P874;1005.524;1979.998;99.149
01_02_P873;1005.322;1980.668;99.213
01_02_P872;1005.108;1981.387;99.257
01_02_P871;1004.927;1981.989;99.283
01_02_P870;1004.855;1982.407;99.472
01_02_P869;1004.998;1981.936;99.454
01_02_P868;1005.226;1981.172;99.407
01_02_P867;1005.489;1980.302;99.341
01_02_P866;1005.706;1979.581;99.189
01_02_P865;1005.611;1980.187;99.549
01_02_P864;1005.404;1980.873;99.596
01_02_P863;1005.218;1981.491;99.644
01_02_P862;1004.953;1982.368;99.696
01_02_P861;1004.761;1983.007;99.755
01_02_P860;1005.155;1983.096;99.747
01_02_P859;1005.337;1982.61;99.732
01_02_P858;1005.59;1981.932;99.702
01_02_P857;1005.888;1981.128;99.652
01_02_P856;1006.142;1980.452;99.608
01_02_P855;1006.26;1979.919;99.367
01_02_P854;1006.013;1980.577;99.379
01_02_P853;1005.795;1981.167;99.424
01_02_P852;1005.526;1981.887;99.408
01_02_P851;1005.282;1982.542;99.448
01_02_P850;1005.396;1982.091;99.329
01_02_P849;1005.631;1981.476;99.315
01_02_P848;1005.78;1981.077;99.302
01_02_P847;1006.081;1980.271;99.257
01_02_P846;1006.361;1979.518;99.199
01_02_P845;1006.475;1979.103;99.017
01_02_P844;1006.266;1979.64;99.057
01_02_P843;1006.009;1980.33;99.056
01_02_P842;1005.732;1981.048;99.064
01_02_P841;1005.483;1981.696;99.091
01_02_P840;1005.997;1981.954;99.095
01_02_P839;1006.11;1981.209;99.084
01_02_P838;1006.217;1980.541;99.075
01_02_P837;1006.317;1979.742;99.037
01_02_P836;1006.378;1979.046;98.968
01_02_P835;1006.21;1979.462;99.207
01_02_P834;1006.101;1980.316;99.259
01_02_P833;1006.027;1980.899;99.221
01_02_P832;1005.929;1981.699;99.222
01_02_P831;1005.844;1982.359;99.247
01_02_P830;1005.637;1982.793;99.474
01_02_P829;1005.718;1982.195;99.46
01_02_P828;1005.803;1981.528;99.385
01_02_P827;1005.905;1980.731;99.327
01_02_P826;1006.012;1979.903;99.259
01_02_P825;1005.801;1980.408;99.528
01_02_P824;1005.715;1981.072;99.569
01_02_P823;1005.643;1981.628;99.61
01_02_P822;1005.556;1982.296;99.647
01_02_P821;1005.422;1983.29;99.731
01_02_P820;1006.13;1983.581;99.708
01_02_P819;1006.273;1982.897;99.693
01_02_P818;1006.404;1982.26;99.67
01_02_P817;1006.556;1981.521;99.632
01_02_P816;1006.709;1980.78;99.594
01_02_P815;1006.983;1980.322;99.337
01_02_P814;1006.825;1981.111;99.392
01_02_P813;1006.696;1981.753;99.373
01_02_P812;1006.534;1982.548;99.418
01_02_P811;1006.412;1983.131;99.438
01_02_P810;1006.643;1982.778;99.267
01_02_P809;1006.792;1982.061;99.286
01_02_P808;1006.914;1981.471;99.268
01_02_P807;1007.043;1980.814;99.226
01_02_P806;1007.212;1979.994;99.179
01_02_P805;1007.486;1979.527;98.922
01_02_P804;1007.349;1980.309;98.94
01_02_P803;1007.25;1980.856;98.981
01_02_P802;1007.099;1981.527;99.011
01_02_P801;1006.93;1982.315;99.029
01_02_P800;1007.528;1979.191;100.955
01_02_P799;1007.412;1979.79;101.005
01_02_P798;1007.24;1980.691;100.918
01_02_P797;1007.076;1981.52;100.996
01_02_P796;1006.959;1982.101;101.044
01_02_P795;1006.779;1982.411;101.127
01_02_P794;1006.893;1981.844;101.099
01_02_P793;1007.056;1981.021;101.047
01_02_P792;1007.216;1980.208;100.983
01_02_P791;1007.362;1979.481;100.85
01_02_P790;1007.018;1980.067;100.911
01_02_P789;1006.856;1980.886;100.989
01_02_P788;1006.717;1981.582;101.047
01_02_P787;1006.543;1982.45;101.106
01_02_P786;1006.436;1982.977;101.135
