Point_Encoder,x_Encoder,y_Encoder,z_Encoder,encoder_0,encoder_1,encoder_2,encoder_3,encoder_4,encoder_5,encoder_6,encoder_7,x_TS,y_TS,z_TS,delta_x,delta_y,delta_z,Norm
01_02_P22,-1766.706235,4548.726805,4227.250252,0.7175740699380091,0.8792106759565795,0.0546,0.929472515209645,0.6435528774176479,0.6476138290369322,-0.2277961470010177,0.7884661249732196,-1747.486005381461,4545.350677170063,4258.299244794529,19.22022961853918,-3.3761278299371043,31.048992794529113,36.672270440595405
01_02_P23,-1821.081224,5117.565153,4196.884506,0.7175740699380091,0.8792106759565795,0.0546,0.9296882312579414,0.6438165303655657,1.22507149641511,-0.2277961470010177,0.8084078752157329,-1807.2060981900222,5120.679968083095,4230.037653675453,13.875125809977817,3.114815083095891,33.1531476754526,36.07426215510114
01_02_P24,-1890.574533,5841.736328,4157.885438,0.7175740699380091,0.8789949599082831,0.0546,0.9299039473062378,0.6440801833134836,1.9528343618257733,-0.2285631373949605,0.8084078752157329,-1883.6996186121269,5847.385305383796,4186.093438220297,6.874914387873105,5.648977383795682,28.208000220296526,29.578145137101966
01_02_P25,-1983.30123,6793.948455,4103.262865,0.7175740699380091,0.8783717802132046,0.0546,0.9303593478526414,0.6442239940123479,2.906827669237355,-0.2293301277889033,0.8007379712763046,-1985.785284694657,6796.096027643898,4116.232989828035,-2.484054694657061,2.1475726438984566,12.970124828035296,13.379339820846408
01_02_P26,-2241.88038,7073.104968,4535.35213,0.7175740699380091,0.8777246320683153,0.6317,0.9303593478526414,0.6442239940123479,2.906758989686049,-0.2300971181828461,0.8007379712763046,-2249.0157435321407,7074.186100746147,4532.965082163259,-7.135363532140673,1.0811327461469773,-2.387047836741658,7.601332654573627
01_02_P27,-2539.638426,6393.635375,4562.808168,0.7175740699380091,0.877748600518126,0.6316,0.9304552216518842,0.5586086912884806,2.268176521645814,-0.2300971181828461,0.8084078752157329,-2526.6843155052356,6396.396082159072,4582.783300135077,12.954110494764336,2.760707159071899,19.97513213507773,23.967402582310193
01_02_P28,-2405.231795,5661.609773,4604.662557,0.7175740699380091,0.877748600518126,0.6315000000000001,0.9301676002541556,0.5586566281881019,1.5168222303616488,-0.2293301277889033,0.7853981633974483,-2383.753075860568,5660.420530907913,4636.631686317884,21.478719139432087,-1.1892420920867153,31.969129317883926,38.53277698230148
01_02_P29,-2293.645472,5047.995749,4639.016326,0.7175740699380091,0.8777725689679368,0.6314000000000001,0.9299039473062378,0.558392975240184,0.8912201975181877,-0.2277961470010177,0.7807962210337913,-2264.8256168329226,5042.653480230001,4675.594881594037,28.81985516707755,-5.3422687699985545,36.578555594037425,46.873389218279435
01_02_P30,-2155.634401,4295.917552,4682.89212,0.7175740699380091,0.878084158815476,0.6313000000000001,0.9291848938119164,0.5578656693443484,0.1256492391137459,-0.2270291566070749,0.7761942786701345,-2118.748366909813,4288.477131594618,4715.738028125941,36.88603409018697,-7.440420405381701,32.845908125940696,49.94790333266245
01_02_P31,-2377.433922,4535.02103,5059.832495,0.7175740699380091,0.8782040010645296,1.1297,0.9291609253621056,0.557817732444727,0.1257522584407044,-0.2270291566070749,0.7761942786701345,-2325.7984043591478,4529.169215890988,5097.112650445297,51.63551764085241,-5.851814109011684,37.28015544529717,63.955300018299724
01_02_P32,-2470.916099,5040.788048,5031.634495,0.7175740699380091,0.8782279695143402,1.1296000000000002,0.9295204521092664,0.5577937639949163,0.6432526775290214,-0.2270291566070749,0.7853981633974483,-2420.9889425828806,5037.6641846044095,5069.8614444926025,49.92715641711948,-3.123863395590888,38.226949492602216,62.95855095158868
01_02_P33,-2609.012908,5791.604134,4989.067876,0.7175740699380091,0.8780601903656653,1.1296000000000002,0.9297841050571842,0.5579136062439698,1.4108840224726336,-0.2285631373949605,0.7999709808823618,-2567.2864701498384,5793.661217769113,5020.683001307816,41.7264378501618,2.057083769112978,31.615125307816015,52.391252681392075
01_02_P34,-2703.580526,6304.507606,4957.780763,0.7175740699380091,0.8776287582690725,1.1295,0.9299518842058592,0.5581053538424555,1.9337757863384464,-0.2293301277889033,0.8084078752157329,-2668.8917731439687,6309.777687288033,4981.400024146893,34.68875285603144,5.270081288032998,23.619261146893223,42.29601433485719
01_02_P35,-2878.237397,7247.659783,4900.23529,0.7175740699380091,0.8770535154736153,1.1294,0.9304072847522628,0.5582491645413198,2.8900698587187685,-0.2300971181828461,0.8007379712763046,-2858.0650317320533,7249.208154535381,4898.400774495741,20.17236526794659,1.548371535381193,-1.8345155042588885,20.3147045769906
