Points,Encoder_X,Encoder_Y,Encoder_Z,Error_X_Before,Error_Y_Before,Error_Z_Before,Transformed_Encoder_X,Transformed_Encoder_Y,Transformed_Encoder_Z,Error_X_After,Error_Y_After,Error_Z_After,Norm_Error_Before,Norm_Error_After
10_12_G1_P1,-187.3205319,4360.706072,5256.569176,-27.44624490000001,-18.114846999999827,9.974667999999838,-208.43778484503227,4357.731449022345,5243.355283618228,-6.328991954967734,-15.140224022345137,23.188560381771822,34.364779100910866,28.407602066910204
10_12_G1_P2,-195.7922279,5000.99268,4635.174383,-32.9614249,-12.61164700000063,10.475840000000062,-221.15036434203913,4998.257287930472,4622.279411603907,-7.603288457960872,-9.876254930471987,23.370811396092904,36.81375279968841,26.48669915520579
10_12_G1_P3,-204.3031525,5622.886239,3815.213303,-32.0115251,-10.548558000000412,6.821763999999803,-233.9518788105775,5620.485991903639,3802.62840754353,-2.3627987894224987,-8.148310903638958,19.406659456469697,34.38817062856057,21.18009017830289
10_12_G1_P4,-208.8854677,5925.39574,3286.546677,-33.936543900000004,-6.5309040000001914,2.2925950000003468,-240.72416086149929,5923.21857419221,3274.113017918213,-2.0978507385007106,-4.353738192210585,14.726254081787374,34.635209119736416,15.498986200674558
10_12_G1_P5,-216.7841212,6264.142668,2493.947921,-32.405317000000025,-4.9268590000001495,-3.064578999999867,-251.2340699612457,6262.2959130229765,2481.6858868383524,2.0446317612456824,-3.0801040229762293,9.197455161647667,32.92066454255767,9.912655611992596
10_12_G1_P6,-219.6192052,6443.761802,1883.363567,-31.29266389999998,-2.5060499999999593,-4.2828810000000885,-255.6046300647576,6442.190011356944,1871.1915494864118,4.6927609647576105,-0.9342593569435849,7.889136513588255,31.683657778435613,9.226771967943115
10_12_G1_P7,-221.1697055,6539.555269,1404.919119,-31.391087499999998,-2.73354400000062,-6.87317599999983,-258.0951422066322,6538.203640592615,1392.7952048689476,5.534349206632214,-1.3819155926148596,5.250738131052458,32.2507858130553,7.752997018376245
10_12_G1_P8,-221.8504981,6595.757905,952.1325244,-31.03254389999998,-2.8709770000004937,-10.343732299999942,-259.4638438704236,6594.619831709657,940.0367261443869,6.580801870423613,-1.7329037096569664,1.7520659556131477,32.83677949699118,7.027065079927211
10_12_G1_P9,-216.4865212,6620.916265,392.7715431,-30.563692800000013,-3.9004800000002433,-12.72537349999999,-254.6906084955278,6620.079105280275,380.6840070660897,7.640394495527801,-3.0633202802755477,-0.6378374660897066,33.335989448607585,8.25629431524741
10_12_G1_P10,-216.3051466,6596.076072,-168.678931,-29.7255581,-5.0909139999994295,-13.943864700000006,-254.80882902104477,6595.511353914939,-180.77847126073132,8.778124321044771,-4.526195914938398,-1.8443244392686893,33.225856986446146,10.047061694515792
